STATE REGION,0,1,2,3,4,5,6,7,8,9,10
ATL,0.935506982,0.062367135,0.002078905,4.61979E-05,7.80346E-07,0,0,0,0,0,0
CVG,1,0,0,0,0,0,0,0,0,0,0
DTW,0.983471451,0.016391194,0.000136593,7.58852E-07,3.17245E-09,0,0,0,0,0,0
LAX,1,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0
MSP,1,0,0,0,0,0,0,0,0,0,0
SEA,1,0,0.00E+00,0.00E+00,0,0,0,0,0,0,0
SLC,1,0,0,0,0,0,0,0,0,0,0
AL,1,0,0.00E+00,0,0,0,0,0,0,0,0
AR-LA,1,0,0.00E+00,0,0,0,0,0,0,0,0
AR-OK,1,0,0.00E+00,0,0,0,0,0,0,0,0
CT-RI-MA,1,0,0.00E+00,0,0,0,0,0,0,0,0
DE-NJ-PA,1,0,0.00E+00,0,0,0,0,0,0,0,0
GA,1,0,0.00E+00,0,0,0,0,0,0,0,0
IA-IL,1,0,0.00E+00,0,0,0,0,0,0,0,0
ID,1,0,0.00E+00,0,0,0,0,0,0,0,0
ID-MT,1,0,0.00E+00,0,0,0,0,0,0,0,0
IL,1,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0
IL-IN-MI,1,0,0.00E+00,0,0,0,0,0,0,0,0
IN,1,0,0.00E+00,0,0,0,0,0,0,0,0
KS-MO,1,0,0.00E+00,0,0,0,0,0,0,0,0
KY-OH,1,0,0.00E+00,0,0,0,0,0,0,0,0
LA,1,0,0.00E+00,0,0,0,0,0,0,0,0
MD-VA-PA,1,0,0.00E+00,0,0,0,0,0,0,0,0
MI,1,0,0.00E+00,0,0,0,0,0,0,0,0
MN,1,0,0.00E+00,0,0,0,0,0,0,0,0
MO-AR,1,0,0.00E+00,0,0,0,0,0,0,0,0
MS,1,0,0.00E+00,0,0,0,0,0,0,0,0
MT,1,0,0.00E+00,0,0,0,0,0,0,0,0
NC,1,0,0.00E+00,0,0,0,0,0,0,0,0
NCA,1,0,0.00E+00,0,0,0,0,0,0,0,0
ND,1,0,0.00E+00,0,0,0,0,0,0,0,0
NFL,1,0,0.00E+00,0,0,0,0,0,0,0,0
NH-VT-ME,1,0,0.00E+00,0,0,0,0,0,0,0,0
NM-CO,1,0,0.00E+00,0,0,0,0,0,0,0,0
NNY,1,0,0.00E+00,0,0,0,0,0,0,0,0
NV-AZ-TX,1,0,0.00E+00,0,0,0,0,0,0,0,0
NV-UT,1,0,0.00E+00,0,0,0,0,0,0,0,0
OH,1,0,0.00E+00,0,0,0,0,0,0,0,0
OR,1,0,0.00E+00,0,0,0,0,0,0,0,0
PA,1,0,0.00E+00,0,0,0,0,0,0,0,0
SC,1,0,0.00E+00,0,0,0,0,0,0,0,0
SCA,1,0,0.00E+00,0,0,0,0,0,0,0,0
SD-NE,1,0,0.00E+00,0,0,0,0,0,0,0,0
SFL,1,0,0.00E+00,0,0,0,0,0,0,0,0
SNY,1,0,0.00E+00,0,0,0,0,0,0,0,0
TN,1,0,0.00E+00,0,0,0,0,0,0,0,0
TX,1,0,0.00E+00,0,0,0,0,0,0,0,0
VA,1,0,0.00E+00,0,0,0,0,0,0,0,0
WA,1,0,0.00E+00,0,0,0,0,0,0,0,0
WI,1,0,0.00E+00,0,0,0,0,0,0,0,0
WI-MI,1,0,0.00E+00,0,0,0,0,0,0,0,0
WV-VA,1,0,0.00E+00,0,0,0,0,0,0,0,0
WY,1,0,0.00E+00,0,0,0,0,0,0,0,0
,,,,,,,,,,,
